Angulo_Rad,Radio_mm,Campo_mT
3.2288591161895095,10.0,-22.71
3.3161255787892263,10.0,-22.47
3.4033920413889427,10.0,-21.83
3.490658503988659,10.0,-21.68
3.5779249665883754,10.0,-21.2
3.6651914291880923,10.0,-21.15
3.7524578917878086,10.0,-20.9
3.839724354387525,10.0,-19.68
3.9269908169872414,10.0,-19.44
4.014257279586958,10.0,-19.05
4.101523742186674,10.0,-18.95
4.1887902047863905,10.0,-18.9
4.276056667386108,10.0,-18.85
4.363323129985824,10.0,-18.75
4.4505895925855405,10.0,-18.71
4.537856055185257,10.0,-18.71
4.625122517784973,10.0,-18.51
4.71238898038469,10.0,-18.22
4.799655442984406,10.0,-18.02
4.886921905584122,10.0,-17.78
4.974188368183839,10.0,-17.48
5.061454830783556,10.0,-17.34
5.1487212933832724,10.0,-17.09
5.235987755982989,10.0,-16.95
5.323254218582705,10.0,-16.61
5.410520681182422,10.0,-16.46
5.497787143782138,10.0,-16.26
5.585053606381854,10.0,-16.07
5.672320068981571,10.0,-15.87
5.759586531581287,10.0,-15.73
5.846852994181004,10.0,-15.68
5.934119456780721,10.0,-15.58
6.021385919380437,10.0,-15.63
6.1086523819801535,10.0,-15.58
6.19591884457987,10.0,-15.68
0.0,12.0,-29.89
0.08726646259971647,12.0,-30.13
0.17453292519943295,12.0,-30.38
0.2617993877991494,12.0,-30.53
0.3490658503988659,12.0,-30.62
0.4363323129985824,12.0,-30.53
0.5235987755982988,12.0,-30.53
0.6108652381980153,12.0,-30.53
0.6981317007977318,12.0,-31.01
0.7853981633974483,12.0,-30.67
0.8726646259971648,12.0,-30.82
0.9599310885968813,12.0,-31.31
1.0471975511965976,12.0,-31.16
1.1344640137963142,12.0,-31.26
1.2217304763960306,12.0,-31.7
1.3089969389957472,12.0,-31.6
1.3962634015954636,12.0,-32.04
1.4835298641951802,12.0,-32.63
1.5707963267948966,12.0,-32.77
1.6580627893946132,12.0,-32.97
1.7453292519943295,12.0,-33.31
1.8325957145940461,12.0,-33.6
1.9198621771937625,12.0,-33.8
2.007128639793479,12.0,-34.19
2.0943951023931953,12.0,-34.33
2.181661564992912,12.0,-34.38
2.2689280275926285,12.0,-34.53
2.356194490192345,12.0,-34.48
2.443460952792061,12.0,-34.63
2.530727415391778,12.0,-34.92
2.6179938779914944,12.0,-34.87
2.705260340591211,12.0,-34.73
2.792526803190927,12.0,-34.87
2.8797932657906435,12.0,-34.68
2.9670597283903604,12.0,-34.48
3.0543261909900767,12.0,-34.63
3.141592653589793,12.0,-34.43
3.2288591161895095,12.0,-34.38
3.3161255787892263,12.0,-34.24
3.4033920413889427,12.0,-34.24
3.490658503988659,12.0,-33.8
3.5779249665883754,12.0,-33.65
3.6651914291880923,12.0,-33.55
3.7524578917878086,12.0,-33.26
3.839724354387525,12.0,-33.06
3.9269908169872414,12.0,-32.82
4.014257279586958,12.0,-32.67
4.101523742186674,12.0,-32.28
4.1887902047863905,12.0,-32.09
4.276056667386108,12.0,-32.04
4.363323129985824,12.0,-31.84
4.4505895925855405,12.0,-31.89
4.537856055185257,12.0,-31.94
4.625122517784973,12.0,-31.99
4.71238898038469,12.0,-31.7
4.799655442984406,12.0,-31.5
4.886921905584122,12.0,-31.31
4.974188368183839,12.0,-31.21
5.061454830783556,12.0,-31.11
5.1487212933832724,12.0,-30.87
5.235987755982989,12.0,-30.62
5.323254218582705,12.0,-30.53
5.410520681182422,12.0,-30.43
5.497787143782138,12.0,-30.38
5.585053606381854,12.0,-30.33
5.672320068981571,12.0,-30.09
5.759586531581287,12.0,-29.99
5.846852994181004,12.0,-29.94
5.934119456780721,12.0,-29.89
6.021385919380437,12.0,-29.74
6.1086523819801535,12.0,-29.79
6.19591884457987,12.0,-29.74
0.0,14.0,-39.32
0.08726646259971647,14.0,-39.56
0.17453292519943295,14.0,-39.56
0.2617993877991494,14.0,-39.85
0.3490658503988659,14.0,-39.85
0.4363323129985824,14.0,-39.85
0.5235987755982988,14.0,-39.8
0.6108652381980153,14.0,-39.71
0.6981317007977318,14.0,-39.56
0.7853981633974483,14.0,-39.8
0.8726646259971648,14.0,-39.61
0.9599310885968813,14.0,-39.61
1.0471975511965976,14.0,-40.1
1.1344640137963142,14.0,-40.0
1.2217304763960306,14.0,-40.1
1.3089969389957472,14.0,-40.59
1.3962634015954636,14.0,-40.59
1.4835298641951802,14.0,-40.73
1.5707963267948966,14.0,-41.12
1.6580627893946132,14.0,-41.22
1.7453292519943295,14.0,-41.37
1.8325957145940461,14.0,-41.56
1.9198621771937625,14.0,-41.71
2.007128639793479,14.0,-41.86
2.0943951023931953,14.0,-42.05
2.181661564992912,14.0,-42.15
2.2689280275926285,14.0,-42.15
2.356194490192345,14.0,-42.2
2.443460952792061,14.0,-42.2
2.530727415391778,14.0,-42.25
2.6179938779914944,14.0,-42.3
2.705260340591211,14.0,-42.34
2.792526803190927,14.0,-42.2
2.8797932657906435,14.0,-42.2
2.9670597283903604,14.0,-42.15
3.0543261909900767,14.0,-41.9
3.141592653589793,14.0,-42.0
3.2288591161895095,14.0,-42.0
3.3161255787892263,14.0,-42.0
3.4033920413889427,14.0,-41.86
3.490658503988659,14.0,-41.86
3.5779249665883754,14.0,-41.56
3.6651914291880923,14.0,-41.42
3.7524578917878086,14.0,-41.56
3.839724354387525,14.0,-41.37
3.9269908169872414,14.0,-41.22
4.014257279586958,14.0,-41.12
4.101523742186674,14.0,-40.93
4.1887902047863905,14.0,-40.68
4.276056667386108,14.0,-40.63
4.363323129985824,14.0,-40.59
4.4505895925855405,14.0,-40.54
4.537856055185257,14.0,-40.44
4.625122517784973,14.0,-40.63
4.71238898038469,14.0,-40.63
4.799655442984406,14.0,-40.59
4.886921905584122,14.0,-40.39
4.974188368183839,14.0,-40.15
5.061454830783556,14.0,-39.95
5.1487212933832724,14.0,-39.8
5.235987755982989,14.0,-39.76
5.323254218582705,14.0,-39.71
5.410520681182422,14.0,-39.66
5.497787143782138,14.0,-39.61
5.585053606381854,14.0,-39.61
5.672320068981571,14.0,-39.71
5.759586531581287,14.0,-39.61
5.846852994181004,14.0,-39.56
5.934119456780721,14.0,-39.51
6.021385919380437,14.0,-39.46
6.1086523819801535,14.0,-39.27
6.19591884457987,14.0,-39.32
0.0,16.0,-46.54
0.08726646259971647,16.0,-46.64
0.17453292519943295,16.0,-46.64
0.2617993877991494,16.0,-46.74
0.3490658503988659,16.0,-46.74
0.4363323129985824,16.0,-46.74
0.5235987755982988,16.0,-46.74
0.6108652381980153,16.0,-46.69
0.6981317007977318,16.0,-46.64
0.7853981633974483,16.0,-46.54
0.8726646259971648,16.0,-46.69
0.9599310885968813,16.0,-46.59
1.0471975511965976,16.0,-46.59
1.1344640137963142,16.0,-46.84
1.2217304763960306,16.0,-46.79
1.3089969389957472,16.0,-46.79
1.3962634015954636,16.0,-46.89
1.4835298641951802,16.0,-46.89
1.5707963267948966,16.0,-46.94
1.6580627893946132,16.0,-47.03
1.7453292519943295,16.0,-47.08
1.8325957145940461,16.0,-47.08
1.9198621771937625,16.0,-47.08
2.007128639793479,16.0,-47.08
2.0943951023931953,16.0,-47.08
2.181661564992912,16.0,-47.13
2.2689280275926285,16.0,-47.08
2.356194490192345,16.0,-47.03
2.443460952792061,16.0,-47.03
2.530727415391778,16.0,-47.03
2.6179938779914944,16.0,-47.03
2.705260340591211,16.0,-47.13
2.792526803190927,16.0,-47.13
2.8797932657906435,16.0,-46.98
2.9670597283903604,16.0,-46.98
3.0543261909900767,16.0,-46.89
3.141592653589793,16.0,-46.89
3.2288591161895095,16.0,-46.89
3.3161255787892263,16.0,-46.89
3.4033920413889427,16.0,-46.94
3.490658503988659,16.0,-46.89
3.5779249665883754,16.0,-46.89
3.6651914291880923,16.0,-46.89
3.7524578917878086,16.0,-46.74
3.839724354387525,16.0,-46.89
3.9269908169872414,16.0,-46.84
4.014257279586958,16.0,-46.84
4.101523742186674,16.0,-46.74
4.1887902047863905,16.0,-46.79
4.276056667386108,16.0,-46.79
4.363323129985824,16.0,-46.69
4.4505895925855405,16.0,-46.54
4.537856055185257,16.0,-46.54
4.625122517784973,16.0,-46.5
4.71238898038469,16.0,-46.69
4.799655442984406,16.0,-46.64
4.886921905584122,16.0,-46.54
4.974188368183839,16.0,-46.5
5.061454830783556,16.0,-46.35
5.1487212933832724,16.0,-46.25
5.235987755982989,16.0,-46.25
5.323254218582705,16.0,-46.3
5.410520681182422,16.0,-46.3
5.497787143782138,16.0,-46.35
5.585053606381854,16.0,-46.35
5.672320068981571,16.0,-46.59
5.759586531581287,16.0,-46.59
5.846852994181004,16.0,-46.54
5.934119456780721,16.0,-46.59
6.021385919380437,16.0,-46.59
6.1086523819801535,16.0,-46.59
6.19591884457987,16.0,-46.59
0.0,18.0,-48.5
0.08726646259971647,18.0,-48.55
0.17453292519943295,18.0,-48.55
0.2617993877991494,18.0,-48.6
0.3490658503988659,18.0,-48.6
0.4363323129985824,18.0,-48.6
0.5235987755982988,18.0,-48.55
0.6108652381980153,18.0,-48.6
0.6981317007977318,18.0,-48.55
0.7853981633974483,18.0,-48.55
0.8726646259971648,18.0,-48.55
0.9599310885968813,18.0,-48.55
1.0471975511965976,18.0,-48.55
1.1344640137963142,18.0,-48.5
1.2217304763960306,18.0,-48.5
1.3089969389957472,18.0,-48.5
1.3962634015954636,18.0,-48.45
1.4835298641951802,18.0,-48.55
1.5707963267948966,18.0,-48.5
1.6580627893946132,18.0,-48.5
1.7453292519943295,18.0,-48.5
1.8325957145940461,18.0,-48.5
1.9198621771937625,18.0,-48.5
2.007128639793479,18.0,-48.5
2.0943951023931953,18.0,-48.5
2.181661564992912,18.0,-48.45
2.2689280275926285,18.0,-48.45
2.356194490192345,18.0,-48.45
2.443460952792061,18.0,-48.45
2.530727415391778,18.0,-48.4
2.6179938779914944,18.0,-48.4
2.705260340591211,18.0,-48.4
2.792526803190927,18.0,-48.4
2.8797932657906435,18.0,-48.45
2.9670597283903604,18.0,-48.3
3.0543261909900767,18.0,-48.25
3.141592653589793,18.0,-48.16
3.2288591161895095,18.0,-48.11
3.3161255787892263,18.0,-48.01
3.4033920413889427,18.0,-48.16
3.490658503988659,18.0,-48.11
3.5779249665883754,18.0,-48.11
3.6651914291880923,18.0,-48.16
3.7524578917878086,18.0,-48.06
3.839724354387525,18.0,-48.06
3.9269908169872414,18.0,-48.16
4.014257279586958,18.0,-48.16
4.101523742186674,18.0,-48.11
4.1887902047863905,18.0,-48.16
4.276056667386108,18.0,-48.16
4.363323129985824,18.0,-48.16
4.4505895925855405,18.0,-48.16
4.537856055185257,18.0,-48.16
4.625122517784973,18.0,-48.16
4.71238898038469,18.0,-48.16
4.799655442984406,18.0,-48.11
4.886921905584122,18.0,-48.16
4.974188368183839,18.0,-48.11
5.061454830783556,18.0,-48.11
5.1487212933832724,18.0,-48.06
5.235987755982989,18.0,-48.06
5.323254218582705,18.0,-48.11
5.410520681182422,18.0,-48.21
5.497787143782138,18.0,-48.35
5.585053606381854,18.0,-48.4
5.672320068981571,18.0,-48.45
5.759586531581287,18.0,-48.45
5.846852994181004,18.0,-48.45
5.934119456780721,18.0,-48.45
6.021385919380437,18.0,-48.45
6.1086523819801535,18.0,-48.5
6.19591884457987,18.0,-48.5
0.0,20.0,-48.94
0.08726646259971647,20.0,-48.99
0.17453292519943295,20.0,-49.04
0.2617993877991494,20.0,-49.08
0.3490658503988659,20.0,-49.08
0.4363323129985824,20.0,-49.04
0.5235987755982988,20.0,-49.04
0.6108652381980153,20.0,-48.99
0.6981317007977318,20.0,-49.04
